sort_order,floor_id,code,name_en,name_tc,category,source_type,source_x,source_y,notes
1,1f,R100,ZIPCITY MACAU,澳門飛索,entertainment,map,117.65,645.33,Main tower entrance block.
2,1f,KR01-KR20,Night Market@Lisboeta,葡京人夜市,entertainment,legend,337.00,646.00,Manual center across the night market stalls wedge.
3,1f,L03,Signature Noodles,招牌麵,food_beverage,map,433.57,645.98,From visible label block.
4,1f,L01,Royal Palace,皇家海鮮舫,food_beverage,map,369.01,810.94,From visible label block.
5,1f,L02,Stanley's Cafe,樂哥冰室,food_beverage,map,790.00,654.00,Manual center inside the large yellow cafe zone.
6,1f,L04,One Shot,一索,food_beverage,map,705.00,684.00,Manual center inside the left yellow lobe of the merged cafe block.
7,1f,KR50-KR51,Herbal Tea Shop,舊街涼茶舖,food_beverage,legend,551.31,538.38,Average of the two OCR hits.
8,1f,KR36,Moow Coffee,摩爾咖啡,food_beverage,legend,644.50,558.62,OCR anchored.
9,1f,F07,McDonald's,麥當勞,food_beverage,legend,1184.00,611.00,Manual center on the upper yellow food segment.
10,1f,F10,My Name is Curry Gor,不同咖喱,food_beverage,legend,1198.00,724.00,Manual center on the lower yellow food segment.
11,1f,K04,Pepper Lunch,胡椒廚房,food_beverage,legend,1230.00,528.00,Manual center on the upper small roadside kiosk.
12,1f,R19,Rethink Coffee,Rethink Coffee,food_beverage,legend,749.25,492.62,OCR anchored.
13,1f,F08,Roppongi Japanese,六本木,food_beverage,legend,1176.00,642.00,Manual center on the upper yellow food segment.
14,1f,F09,SOGOD TEA,酥岡鮮茶,food_beverage,legend,1160.00,700.00,Manual center on the lower left yellow food segment.
15,1f,K01,Toei Delights,十八番,food_beverage,legend,1238.00,593.00,Manual center on the lower small roadside kiosk.
16,1f,K02,Good Fortune Kitchen,百福小廚,food_beverage,legend,1221.00,560.00,Manual center on the middle small roadside kiosk.
17,1f,R51-R52,6ixty8ight,6ixty8ight,shopping,legend,964.94,425.75,Average of R51 and R52 OCR hits.
